timestamp,pressure_hPa,relative_altitude_m
2025-09-10T08:28:28Z,1010.1,0.396
2025-09-10T08:28:29Z,1010.1,0.410
2025-09-10T08:28:30Z,1010.1,0.412
2025-09-10T08:28:31Z,1010.1,0.412
2025-09-10T08:28:32Z,1010.1,0.402
2025-09-10T08:28:33Z,1010.1,0.394
2025-09-10T08:28:34Z,1010.1,0.378
2025-09-10T08:28:35Z,1010.1,0.378
2025-09-10T08:28:36Z,1010.1,0.391
2025-09-10T08:28:37Z,1010.1,0.399
2025-09-10T08:28:38Z,1010.1,0.402
2025-09-10T08:28:39Z,1010.1,0.407
2025-09-10T08:28:40Z,1010.1,0.415
2025-09-10T08:28:42Z,1010.1,0.423
2025-09-10T08:28:43Z,1010.1,0.423
2025-09-10T08:28:44Z,1010.1,0.402
2025-09-10T08:28:45Z,1010.1,0.402
2025-09-10T08:28:46Z,1010.1,0.399
2025-09-10T08:28:47Z,1010.1,0.391
2025-09-10T08:28:48Z,1010.1,0.391
2025-09-10T08:28:49Z,1010.1,0.415
2025-09-10T08:28:50Z,1010.1,0.420
2025-09-10T08:28:51Z,1010.1,0.436
2025-09-10T08:28:52Z,1010.1,0.447
2025-09-10T08:28:53Z,1010.1,0.449
2025-09-10T08:28:54Z,1010.1,0.460
2025-09-10T08:28:56Z,1010.1,0.470
2025-09-10T08:28:57Z,1010.1,0.481
2025-09-10T08:28:58Z,1010.1,0.484
2025-09-10T08:28:59Z,1010.1,0.513
2025-09-10T08:29:00Z,1010.1,0.526
2025-09-10T08:29:01Z,1010.1,0.534
2025-09-10T08:29:02Z,1010.1,0.560
2025-09-10T08:29:03Z,1010.1,0.587
2025-09-10T08:29:04Z,1010.1,0.613
2025-09-10T08:29:05Z,1010.1,0.629
2025-09-10T08:29:06Z,1010.1,0.629
2025-09-10T08:29:07Z,1010.1,0.602
2025-09-10T08:29:08Z,1010.1,0.579
2025-09-10T08:29:10Z,1010.1,0.563
2025-09-10T08:29:11Z,1010.1,0.542
2025-09-10T08:29:12Z,1010.1,0.521
2025-09-10T08:29:13Z,1010.1,0.518
2025-09-10T08:29:14Z,1010.1,0.499
2025-09-10T08:29:15Z,1010.1,0.484
2025-09-10T08:29:16Z,1010.1,0.465
2025-09-10T08:29:17Z,1010.1,0.465
2025-09-10T08:29:18Z,1010.1,0.465
2025-09-10T08:29:19Z,1010.1,0.489
2025-09-10T08:29:20Z,1010.1,0.499
2025-09-10T08:29:21Z,1010.1,0.515
2025-09-10T08:29:22Z,1010.1,0.526
2025-09-10T08:29:24Z,1010.1,0.547
2025-09-10T08:29:25Z,1010.1,0.547
2025-09-10T08:29:26Z,1010.1,0.563
2025-09-10T08:29:27Z,1010.1,0.587
2025-09-10T08:29:28Z,1010.1,0.610
2025-09-10T08:29:29Z,1010.1,0.634
2025-09-10T08:29:30Z,1010.1,0.655
2025-09-10T08:29:31Z,1010.1,0.679
2025-09-10T08:29:32Z,1010.1,0.703
2025-09-10T08:29:33Z,1010.1,0.705
2025-09-10T08:29:34Z,1010.1,0.716
2025-09-10T08:29:35Z,1010.1,0.716
2025-09-10T08:29:36Z,1010.1,0.719
2025-09-10T08:29:38Z,1010.1,0.719
2025-09-10T08:29:39Z,1010.1,0.716
2025-09-10T08:29:40Z,1010.1,0.713
2025-09-10T08:29:41Z,1010.1,0.713
2025-09-10T08:29:42Z,1010.1,0.769
2025-09-10T08:29:43Z,1010.1,0.819
2025-09-10T08:29:44Z,1010.0,0.877
2025-09-10T08:29:45Z,1010.0,0.938
2025-09-10T08:29:46Z,1010.0,1.012
2025-09-10T08:29:47Z,1010.0,1.012
2025-09-10T08:29:48Z,1010.0,1.007
2025-09-10T08:29:49Z,1010.0,1.004
2025-09-10T08:29:50Z,1010.0,0.999
2025-09-10T08:29:51Z,1010.0,0.988
2025-09-10T08:29:53Z,1010.0,0.988
2025-09-10T08:29:54Z,1010.0,1.007
2025-09-10T08:29:55Z,1010.0,1.017
2025-09-10T08:29:56Z,1010.0,1.025
2025-09-10T08:29:57Z,1010.0,1.025
2025-09-10T08:29:58Z,1010.0,1.009
2025-09-10T08:29:59Z,1010.0,0.999
2025-09-10T08:30:00Z,1010.0,0.954
2025-09-10T08:30:01Z,1010.0,0.922
2025-09-10T08:30:02Z,1010.0,0.885
2025-09-10T08:30:03Z,1010.0,0.872
2025-09-10T08:30:04Z,1010.1,0.848
2025-09-10T08:30:05Z,1010.1,0.848
2025-09-10T08:30:07Z,1010.1,0.848
2025-09-10T08:30:08Z,1010.1,0.848
2025-09-10T08:30:09Z,1010.1,0.835
2025-09-10T08:30:10Z,1010.1,0.824
2025-09-10T08:30:11Z,1010.1,0.819
2025-09-10T08:30:12Z,1010.1,0.772
2025-09-10T08:30:13Z,1010.1,0.745
2025-09-10T08:30:14Z,1010.1,0.745
2025-09-10T08:30:15Z,1010.1,0.708
2025-09-10T08:30:16Z,1010.1,0.708
2025-09-10T08:30:17Z,1010.1,0.727
2025-09-10T08:30:18Z,1010.1,0.750
2025-09-10T08:30:19Z,1010.1,0.753
2025-09-10T08:30:21Z,1010.1,0.769
2025-09-10T08:30:22Z,1010.1,0.779
2025-09-10T08:30:23Z,1010.1,0.779
2025-09-10T08:30:24Z,1010.1,0.779
2025-09-10T08:30:25Z,1010.1,0.785
2025-09-10T08:30:26Z,1010.1,0.785
2025-09-10T08:30:27Z,1010.1,0.787
2025-09-10T08:30:28Z,1010.1,0.798
2025-09-10T08:30:29Z,1010.1,0.806
2025-09-10T08:30:30Z,1010.1,0.806
2025-09-10T08:30:31Z,1010.1,0.811
2025-09-10T08:30:32Z,1010.1,0.819
2025-09-10T08:30:33Z,1010.1,0.811
2025-09-10T08:30:35Z,1010.1,0.750
2025-09-10T08:30:36Z,1010.1,0.653
2025-09-10T08:30:37Z,1010.1,0.555
2025-09-10T08:30:38Z,1010.1,0.473
2025-09-10T08:30:39Z,1010.1,0.383
2025-09-10T08:30:40Z,1010.1,0.383
2025-09-10T08:30:41Z,1010.1,0.396
2025-09-10T08:30:42Z,1010.1,0.470
2025-09-10T08:30:43Z,1010.1,0.602
2025-09-10T08:30:44Z,1010.1,0.801
2025-09-10T08:30:45Z,1010.0,0.962
2025-09-10T08:30:46Z,1010.0,1.094
2025-09-10T08:30:47Z,1010.0,1.194
2025-09-10T08:30:49Z,1010.0,1.215
2025-09-10T08:30:50Z,1010.0,1.215
2025-09-10T08:30:51Z,1010.0,1.178
2025-09-10T08:30:52Z,1010.0,1.157
2025-09-10T08:30:53Z,1010.0,1.123
2025-09-10T08:30:54Z,1010.0,1.057
2025-09-10T08:30:55Z,1010.0,1.046
2025-09-10T08:30:56Z,1010.0,1.036
2025-09-10T08:30:57Z,1010.0,1.033
2025-09-10T08:30:58Z,1010.0,1.023
2025-09-10T08:30:59Z,1010.0,1.023
2025-09-10T08:31:00Z,1010.0,1.020
2025-09-10T08:31:01Z,1010.0,1.020
2025-09-10T08:31:02Z,1010.0,1.020
2025-09-10T08:31:04Z,1010.0,1.023
2025-09-10T08:31:05Z,1010.0,1.031
2025-09-10T08:31:06Z,1010.0,1.036
2025-09-10T08:31:07Z,1010.0,1.052
2025-09-10T08:31:08Z,1010.0,1.057
2025-09-10T08:31:09Z,1010.0,1.078
2025-09-10T08:31:10Z,1010.0,1.089
2025-09-10T08:31:11Z,1010.0,1.110
2025-09-10T08:31:12Z,1010.0,1.110
2025-09-10T08:31:13Z,1010.0,1.110
2025-09-10T08:31:14Z,1010.0,1.110
2025-09-10T08:31:15Z,1010.0,1.118
2025-09-10T08:31:16Z,1010.0,1.123
2025-09-10T08:31:18Z,1010.0,1.134
2025-09-10T08:31:19Z,1010.0,1.155
2025-09-10T08:31:20Z,1010.0,1.176
2025-09-10T08:31:21Z,1010.0,1.181
2025-09-10T08:31:22Z,1010.0,1.200
2025-09-10T08:31:23Z,1010.0,1.200
2025-09-10T08:31:24Z,1010.0,1.202
2025-09-10T08:31:25Z,1010.0,1.210
2025-09-10T08:31:26Z,1010.0,1.223
2025-09-10T08:31:27Z,1010.0,1.242
2025-09-10T08:31:28Z,1010.0,1.245
2025-09-10T08:31:29Z,1010.0,1.258
2025-09-10T08:31:30Z,1010.0,1.258
2025-09-10T08:31:32Z,1010.0,1.258
2025-09-10T08:31:33Z,1010.0,1.245
2025-09-10T08:31:34Z,1010.0,1.245
2025-09-10T08:31:35Z,1010.0,1.242
2025-09-10T08:31:36Z,1010.0,1.245
2025-09-10T08:31:37Z,1010.0,1.239
2025-09-10T08:31:38Z,1010.0,1.234
2025-09-10T08:31:39Z,1010.0,1.229
2025-09-10T08:31:40Z,1010.0,1.221
2025-09-10T08:31:41Z,1010.0,1.202
2025-09-10T08:31:42Z,1010.0,1.192
2025-09-10T08:31:43Z,1010.0,1.184
2025-09-10T08:31:44Z,1010.0,1.184
2025-09-10T08:31:46Z,1010.0,1.184
2025-09-10T08:31:47Z,1010.0,1.189
2025-09-10T08:31:48Z,1010.0,1.192
2025-09-10T08:31:49Z,1010.0,1.189
2025-09-10T08:31:50Z,1010.0,1.189
2025-09-10T08:31:51Z,1010.0,1.181
2025-09-10T08:31:52Z,1010.0,1.181
2025-09-10T08:31:53Z,1010.0,1.168
2025-09-10T08:31:54Z,1010.0,1.165
2025-09-10T08:31:55Z,1010.0,1.165
2025-09-10T08:31:56Z,1010.0,1.181
2025-09-10T08:31:57Z,1010.0,1.197
2025-09-10T08:31:58Z,1010.0,1.213
2025-09-10T08:32:00Z,1010.0,1.245
2025-09-10T08:32:01Z,1010.0,1.271
2025-09-10T08:32:02Z,1010.0,1.284
2025-09-10T08:32:03Z,1010.0,1.289
2025-09-10T08:32:04Z,1010.0,1.324
2025-09-10T08:32:05Z,1010.0,1.334
2025-09-10T08:32:06Z,1010.0,1.366
2025-09-10T08:32:07Z,1010.0,1.400
2025-09-10T08:32:08Z,1010.0,1.427
2025-09-10T08:32:09Z,1010.0,1.453
2025-09-10T08:32:10Z,1010.0,1.466
2025-09-10T08:32:11Z,1010.0,1.482
2025-09-10T08:32:12Z,1010.0,1.488
2025-09-10T08:32:14Z,1010.0,1.488
2025-09-10T08:32:15Z,1010.0,1.480
2025-09-10T08:32:16Z,1010.0,1.472
2025-09-10T08:32:17Z,1010.0,1.469
2025-09-10T08:32:18Z,1010.0,1.466
2025-09-10T08:32:19Z,1010.0,1.448
2025-09-10T08:32:20Z,1010.0,1.443
2025-09-10T08:32:21Z,1010.0,1.427
2025-09-10T08:32:22Z,1010.0,1.419
2025-09-10T08:32:23Z,1010.0,1.400
2025-09-10T08:32:24Z,1010.0,1.398
2025-09-10T08:32:25Z,1010.0,1.393
2025-09-10T08:32:26Z,1010.0,1.390
2025-09-10T08:32:27Z,1010.0,1.390
2025-09-10T08:32:29Z,1010.0,1.390
2025-09-10T08:32:30Z,1010.0,1.416
2025-09-10T08:32:31Z,1010.0,1.437
2025-09-10T08:32:32Z,1010.0,1.466
2025-09-10T08:32:33Z,1010.0,1.490
2025-09-10T08:32:34Z,1010.0,1.530
2025-09-10T08:32:35Z,1010.0,1.554
2025-09-10T08:32:36Z,1010.0,1.570
2025-09-10T08:32:37Z,1010.0,1.575
2025-09-10T08:32:38Z,1010.0,1.577
2025-09-10T08:32:39Z,1010.0,1.577
2025-09-10T08:32:40Z,1010.0,1.577
2025-09-10T08:32:41Z,1010.0,1.585
2025-09-10T08:32:43Z,1010.0,1.599
2025-09-10T08:32:44Z,1010.0,1.599
2025-09-10T08:32:45Z,1010.0,1.596
2025-09-10T08:32:46Z,1010.0,1.591
2025-09-10T08:32:47Z,1010.0,1.591
2025-09-10T08:32:48Z,1010.0,1.591
2025-09-10T08:32:49Z,1010.0,1.636
2025-09-10T08:32:50Z,1010.0,1.678
2025-09-10T08:32:51Z,1009.9,1.725
2025-09-10T08:32:52Z,1009.9,1.747
2025-09-10T08:32:53Z,1009.9,1.765
2025-09-10T08:32:54Z,1009.9,1.770
2025-09-10T08:32:55Z,1009.9,1.826
2025-09-10T08:32:57Z,1009.9,1.892
2025-09-10T08:32:58Z,1009.9,1.961
2025-09-10T08:32:59Z,1009.9,2.029
2025-09-10T08:33:00Z,1009.9,2.111
2025-09-10T08:33:01Z,1009.9,2.114
2025-09-10T08:33:02Z,1009.9,2.119
2025-09-10T08:33:03Z,1009.9,2.114
2025-09-10T08:33:04Z,1009.9,2.114
2025-09-10T08:33:05Z,1009.9,2.087
2025-09-10T08:33:06Z,1009.9,2.058
2025-09-10T08:33:07Z,1009.9,2.048
2025-09-10T08:33:08Z,1009.9,2.019
2025-09-10T08:33:09Z,1009.9,1.953
2025-09-10T08:33:11Z,1009.9,1.884
2025-09-10T08:33:12Z,1009.9,1.821
2025-09-10T08:33:13Z,1009.9,1.770
2025-09-10T08:33:14Z,1009.9,1.725
2025-09-10T08:33:15Z,1009.9,1.725
2025-09-10T08:33:16Z,1009.9,1.728
2025-09-10T08:33:17Z,1009.9,1.733
2025-09-10T08:33:18Z,1009.9,1.739
2025-09-10T08:33:19Z,1009.9,1.747
2025-09-10T08:33:20Z,1009.9,1.760
2025-09-10T08:33:21Z,1009.9,1.794
2025-09-10T08:33:22Z,1009.9,1.831
2025-09-10T08:33:23Z,1009.9,1.839
2025-09-10T08:33:25Z,1009.9,1.863
2025-09-10T08:33:26Z,1009.9,1.932
2025-09-10T08:33:27Z,1009.9,1.969
2025-09-10T08:33:28Z,1009.9,2.006
2025-09-10T08:33:29Z,1009.9,2.095
2025-09-10T08:33:30Z,1009.9,2.193
2025-09-10T08:33:31Z,1009.9,2.238
2025-09-10T08:33:32Z,1009.9,2.294
2025-09-10T08:33:33Z,1009.9,2.341
2025-09-10T08:33:34Z,1009.9,2.357
2025-09-10T08:33:35Z,1009.9,2.357
2025-09-10T08:33:36Z,1009.9,2.346
2025-09-10T08:33:37Z,1009.9,2.336
2025-09-10T08:33:39Z,1009.9,2.317
2025-09-10T08:33:40Z,1009.9,2.291
2025-09-10T08:33:41Z,1009.9,2.283
2025-09-10T08:33:42Z,1009.9,2.283
2025-09-10T08:33:43Z,1009.9,2.264
2025-09-10T08:33:44Z,1009.9,2.233
2025-09-10T08:33:45Z,1009.9,2.209
2025-09-10T08:33:46Z,1009.9,2.132
2025-09-10T08:33:47Z,1009.9,2.050
2025-09-10T08:33:48Z,1009.9,1.990
2025-09-10T08:33:49Z,1009.9,1.963
2025-09-10T08:33:50Z,1009.9,1.932
2025-09-10T08:33:51Z,1009.9,1.921
2025-09-10T08:33:53Z,1009.9,1.905
2025-09-10T08:33:54Z,1009.9,1.879
2025-09-10T08:33:55Z,1009.9,1.852
2025-09-10T08:33:56Z,1009.9,1.852
2025-09-10T08:33:57Z,1009.9,1.863
2025-09-10T08:33:58Z,1009.9,1.897
2025-09-10T08:33:59Z,1009.9,1.942
2025-09-10T08:34:00Z,1009.9,1.992
2025-09-10T08:34:01Z,1009.9,2.056
2025-09-10T08:34:02Z,1009.9,2.077
2025-09-10T08:34:03Z,1009.9,2.109
2025-09-10T08:34:04Z,1009.9,2.135
2025-09-10T08:34:05Z,1009.9,2.167
2025-09-10T08:34:06Z,1009.9,2.172
2025-09-10T08:34:08Z,1009.9,2.196
2025-09-10T08:34:09Z,1009.9,2.206
2025-09-10T08:34:10Z,1009.9,2.206
2025-09-10T08:34:11Z,1009.9,2.201
